,Mean,Standard Deviation,Percentile 25,Median,Percentile 75,Minimum,Maximum,Count
Diagnosed with any CVD,0.114,0.318,0,0,0,0,1,789
Ever diagnosed with high cholesterol W5,0.222,0.416,0,0,0,0,1,787
Ever diagnosed with high blood pressure W5,0.177,0.382,0,0,0,0,1,787
Ever diagnosed with heart disease W5,0.005,0.071,0,0,0,0,1,785
Ever diagnosed with blood clot W5,0.006,0.08,0,0,0,0,1,783
Ever diagnosed with a stroke W5,0.006,0.08,0,0,0,0,1,787
Ever diagnosed with heart failure W5,0.008,0.087,0,0,0,0,1,786
Ever diagnosed with atrial fibrillation W5,0.006,0.08,0,0,0,0,1,785
Ever diagnosed with aortic aneurysm W5,0,0,0,0,0,0,0,788
Ever diagnosed with arterial disease W5,0.001,0.036,0,0,0,0,1,787
Ever diagnosed with diabetes W5,0.08,0.272,0,0,0,0,1,787
Taking any CVD medication W5,0.114,0.318,0,0,0,0,1,789
Taking high cholesterol medication (past 4wk) W5,0.052,0.222,0,0,0,0,1,788
Taking high blood pressure medication (past 4wk) W5,0.093,0.29,0,0,0,0,1,787
Taking heart disease medication (past 4wk) W5,0.003,0.05,0,0,0,0,1,789
Taking blood clot medication (past 4wk) W5,0,0,0,0,0,0,0,789
Taking stroke medication (past 4wk) W5,0.003,0.05,0,0,0,0,1,789
Taking heart failure medication (past 4wk) W5,0.006,0.079,0,0,0,0,1,789
Taking atrial fibrillation medication (past 4wk) W5,0.003,0.05,0,0,0,0,1,789
Taking aortic aneurysm medication (past 4wk) W5,0,0,0,0,0,0,0,789
Taking arterial disease medication (past 4wk) W5,0,0,0,0,0,0,0,789
Taking diabetes medication (past 4wk) W5,0.036,0.185,0,0,0,0,1,788
HIGH SENSTVTY C-RCTV PROTN (hsCRP)(MG/L),2.938,5.261,0.478,1.274,3.34,0,75,841
log10(hsCRP) W4,0.112,0.557,-0.321,0.105,0.524,-1,2,841
High hsCRP (>3 mg/L) W4,0.442,0.497,0,0,1,0,1,1093
Any infectious symptoms in last 2 weeks (y/n) W4,0.316,0.465,0,0,1,0,1,1093
Smoked any cigarettes in last 30 days,0.29,0.454,0,0,1,0,1,958
Taking anti-inflammatory medication W4,0.224,0.417,0,0,0,0,1,961
Self-reported sex W5,1.516,0.5,1,2,2,1,2,789
Race/ethnicity (UNC),4,0,4,4,4,4,4,1093
Midpoint household income w4 (AH-constructed),82349.162,43247.695,45000,87500,1.25E+05,2500,150000,895
Midpoint personal income w4 (AH-constructed),50302.934,30272.481,27500,45000,62500,0,150000,784
College by W4 (AH-constructed),1.28,0.792,1,1,2,0,2,961
Observations,1093,,,,,,,
Source: The National Longitudinal Study of Adolescent to Adult Health (Add Health),,,,,,,,
