,Mean,Standard Deviation,Percentile 25,Median,Percentile 75,Minimum,Maximum,Count
Diagnosed with any CVD,0.131,0.338,0,0,0,0,1,791
Ever diagnosed with high cholesterol W5,0.223,0.417,0,0,0,0,1,783
Ever diagnosed with high blood pressure W5,0.233,0.423,0,0,0,0,1,784
Ever diagnosed with heart disease W5,0.009,0.094,0,0,0,0,1,785
Ever diagnosed with blood clot W5,0.008,0.087,0,0,0,0,1,785
Ever diagnosed with a stroke W5,0.006,0.08,0,0,0,0,1,783
Ever diagnosed with heart failure W5,0.008,0.087,0,0,0,0,1,784
Ever diagnosed with atrial fibrillation W5,0.004,0.062,0,0,0,0,1,787
Ever diagnosed with aortic aneurysm W5,0.001,0.036,0,0,0,0,1,782
Ever diagnosed with arterial disease W5,0,0,0,0,0,0,0,785
Ever diagnosed with diabetes W5,0.088,0.283,0,0,0,0,1,785
Taking any CVD medication W5,0.131,0.338,0,0,0,0,1,791
Taking high cholesterol medication (past 4wk) W5,0.067,0.25,0,0,0,0,1,791
Taking high blood pressure medication (past 4wk) W5,0.107,0.31,0,0,0,0,1,791
Taking heart disease medication (past 4wk) W5,0.006,0.079,0,0,0,0,1,791
Taking blood clot medication (past 4wk) W5,0.003,0.05,0,0,0,0,1,791
Taking stroke medication (past 4wk) W5,0.001,0.036,0,0,0,0,1,791
Taking heart failure medication (past 4wk) W5,0.005,0.071,0,0,0,0,1,791
Taking atrial fibrillation medication (past 4wk) W5,0.001,0.036,0,0,0,0,1,791
Taking aortic aneurysm medication (past 4wk) W5,0,0,0,0,0,0,0,791
Taking arterial disease medication (past 4wk) W5,0,0,0,0,0,0,0,791
Taking diabetes medication (past 4wk) W5,0.054,0.227,0,0,0,0,1,791
HIGH SENSTVTY C-RCTV PROTN (hsCRP)(MG/L),4.067,6.332,0.866,1.946,4.551,0,56,586
log10(hsCRP) W4,0.297,0.518,-0.062,0.289,0.658,-1,2,586
High hsCRP (>3 mg/L) W4,0.535,0.499,0,1,1,0,1,791
Any infectious symptoms in last 2 weeks (y/n) W4,0.26,0.439,0,0,1,0,1,791
Smoked any cigarettes in last 30 days,0.317,0.466,0,0,1,0,1,657
Taking anti-inflammatory medication W4,0.252,0.434,0,0,1,0,1,663
Self-reported sex W5,1,0,1,1,1,1,1,791
Race/ethnicity (UNC),5,0,5,5,5,5,5,791
Midpoint household income w4 (AH-constructed),68460.611,36959.356,45000,62500,87500,2500,150000,622
Midpoint personal income w4 (AH-constructed),43513.746,25316.053,27500,35000,62500,0,150000,582
College by W4 (AH-constructed),0.784,0.75,0,1,1,0,2,662
Observations,791,,,,,,,
Source: The National Longitudinal Study of Adolescent to Adult Health (Add Health),,,,,,,,
