,Mean,Standard Deviation,Percentile 25,Median,Percentile 75,Minimum,Maximum,Count
Diagnosed with any CVD,0.16,0.367,0,0,0,0,1,919
Ever diagnosed with high cholesterol W5,0.187,0.39,0,0,0,0,1,910
Ever diagnosed with high blood pressure W5,0.301,0.459,0,0,1,0,1,910
Ever diagnosed with heart disease W5,0.013,0.114,0,0,0,0,1,915
Ever diagnosed with blood clot W5,0.016,0.127,0,0,0,0,1,913
Ever diagnosed with a stroke W5,0.013,0.114,0,0,0,0,1,913
Ever diagnosed with heart failure W5,0.011,0.104,0,0,0,0,1,910
Ever diagnosed with atrial fibrillation W5,0.003,0.057,0,0,0,0,1,916
Ever diagnosed with aortic aneurysm W5,0.001,0.033,0,0,0,0,1,909
Ever diagnosed with arterial disease W5,0.003,0.057,0,0,0,0,1,910
Ever diagnosed with diabetes W5,0.089,0.284,0,0,0,0,1,913
Taking any CVD medication W5,0.16,0.367,0,0,0,0,1,919
Taking high cholesterol medication (past 4wk) W5,0.07,0.255,0,0,0,0,1,918
Taking high blood pressure medication (past 4wk) W5,0.143,0.35,0,0,0,0,1,918
Taking heart disease medication (past 4wk) W5,0.008,0.087,0,0,0,0,1,919
Taking blood clot medication (past 4wk) W5,0.004,0.066,0,0,0,0,1,919
Taking stroke medication (past 4wk) W5,0.007,0.081,0,0,0,0,1,919
Taking heart failure medication (past 4wk) W5,0.008,0.087,0,0,0,0,1,918
Taking atrial fibrillation medication (past 4wk) W5,0,0,0,0,0,0,0,919
Taking aortic aneurysm medication (past 4wk) W5,0.001,0.033,0,0,0,0,1,919
Taking arterial disease medication (past 4wk) W5,0,0,0,0,0,0,0,919
Taking diabetes medication (past 4wk) W5,0.05,0.218,0,0,0,0,1,919
HIGH SENSTVTY C-RCTV PROTN (hsCRP)(MG/L),4.193,10.726,0.635,1.652,3.909,0,205,661
log10(hsCRP) W4,0.215,0.57,-0.197,0.218,0.592,-1,2,661
High hsCRP (>3 mg/L) W4,0.506,0.5,0,1,1,0,1,919
Any infectious symptoms in last 2 weeks (y/n) W4,0.224,0.417,0,0,0,0,1,919
Smoked any cigarettes in last 30 days,0.366,0.482,0,0,1,0,1,760
Taking anti-inflammatory medication W4,0.2,0.4,0,0,0,0,1,779
Self-reported sex W5,1,0,1,1,1,1,1,919
Race/ethnicity (UNC),2,0,2,2,2,2,2,919
Midpoint household income w4 (AH-constructed),55519.802,37428.217,27500,45000,62500,2500,150000,707
Midpoint personal income w4 (AH-constructed),38211.893,25545.556,22500,35000,45000,0,150000,597
College by W4 (AH-constructed),0.819,0.789,0,1,1,0,2,778
Observations,919,,,,,,,
Source: The National Longitudinal Study of Adolescent to Adult Health (Add Health),,,,,,,,
