,Mean,Standard Deviation,Percentile 25,Median,Percentile 75,Minimum,Maximum,Count
Diagnosed with any CVD,0.129,0.335,0,0,0,0,1,3177
Ever diagnosed with high cholesterol W5,0.205,0.404,0,0,0,0,1,3157
Ever diagnosed with high blood pressure W5,0.224,0.417,0,0,0,0,1,3159
Ever diagnosed with heart disease W5,0.008,0.087,0,0,0,0,1,3158
Ever diagnosed with blood clot W5,0.01,0.097,0,0,0,0,1,3151
Ever diagnosed with a stroke W5,0.006,0.077,0,0,0,0,1,3165
Ever diagnosed with heart failure W5,0.005,0.069,0,0,0,0,1,3170
Ever diagnosed with atrial fibrillation W5,0.008,0.089,0,0,0,0,1,3163
Ever diagnosed with aortic aneurysm W5,0.001,0.036,0,0,0,0,1,3164
Ever diagnosed with arterial disease W5,0.002,0.04,0,0,0,0,1,3163
Ever diagnosed with diabetes W5,0.048,0.213,0,0,0,0,1,3167
Taking any CVD medication W5,0.129,0.335,0,0,0,0,1,3177
Taking high cholesterol medication (past 4wk) W5,0.054,0.226,0,0,0,0,1,3173
Taking high blood pressure medication (past 4wk) W5,0.104,0.305,0,0,0,0,1,3174
Taking heart disease medication (past 4wk) W5,0.003,0.053,0,0,0,0,1,3176
Taking blood clot medication (past 4wk) W5,0.003,0.05,0,0,0,0,1,3177
Taking stroke medication (past 4wk) W5,0.001,0.035,0,0,0,0,1,3176
Taking heart failure medication (past 4wk) W5,0.003,0.053,0,0,0,0,1,3177
Taking atrial fibrillation medication (past 4wk) W5,0.003,0.059,0,0,0,0,1,3177
Taking aortic aneurysm medication (past 4wk) W5,0,0.018,0,0,0,0,1,3177
Taking arterial disease medication (past 4wk) W5,0.001,0.031,0,0,0,0,1,3177
Taking diabetes medication (past 4wk) W5,0.031,0.172,0,0,0,0,1,3174
HIGH SENSTVTY C-RCTV PROTN (hsCRP)(MG/L),3.151,6.098,0.642,1.452,3.428,0,146,2523
log10(hsCRP) W4,0.173,0.518,-0.192,0.162,0.535,-1,2,2523
High hsCRP (>3 mg/L) W4,0.432,0.495,0,0,1,0,1,3177
Any infectious symptoms in last 2 weeks (y/n) W4,0.267,0.442,0,0,1,0,1,3177
Smoked any cigarettes in last 30 days,0.407,0.491,0,0,1,0,1,2812
Taking anti-inflammatory medication W4,0.291,0.454,0,0,1,0,1,2822
Self-reported sex W5,1,0,1,1,1,1,1,3177
Race/ethnicity (UNC),1,0,1,1,1,1,1,3177
Midpoint household income w4 (AH-constructed),67235.622,37117.914,35000,62500,87500,2500,150000,2695
Midpoint personal income w4 (AH-constructed),46833.805,28378.126,27500,45000,62500,0,150000,2473
College by W4 (AH-constructed),1.017,0.819,0,1,2,0,2,2822
Observations,3177,,,,,,,
Source: The National Longitudinal Study of Adolescent to Adult Health (Add Health),,,,,,,,
