,Mean,Standard Deviation,Percentile 25,Median,Percentile 75,Minimum,Maximum,Count
Diagnosed with any CVD,0.135,0.342,0,0,0,0,1,5326
Ever diagnosed with high cholesterol W5,0.211,0.408,0,0,0,0,1,5287
Ever diagnosed with high blood pressure W5,0.24,0.427,0,0,0,0,1,5290
Ever diagnosed with heart disease W5,0.009,0.095,0,0,0,0,1,5293
Ever diagnosed with blood clot W5,0.01,0.099,0,0,0,0,1,5282
Ever diagnosed with a stroke W5,0.007,0.085,0,0,0,0,1,5297
Ever diagnosed with heart failure W5,0.007,0.081,0,0,0,0,1,5299
Ever diagnosed with atrial fibrillation W5,0.007,0.081,0,0,0,0,1,5300
Ever diagnosed with aortic aneurysm W5,0.001,0.036,0,0,0,0,1,5291
Ever diagnosed with arterial disease W5,0.002,0.039,0,0,0,0,1,5295
Ever diagnosed with diabetes W5,0.065,0.246,0,0,0,0,1,5303
Taking any CVD medication W5,0.135,0.342,0,0,0,0,1,5326
Taking high cholesterol medication (past 4wk) W5,0.06,0.237,0,0,0,0,1,5321
Taking high blood pressure medication (past 4wk) W5,0.111,0.315,0,0,0,0,1,5321
Taking heart disease medication (past 4wk) W5,0.005,0.068,0,0,0,0,1,5325
Taking blood clot medication (past 4wk) W5,0.003,0.051,0,0,0,0,1,5326
Taking stroke medication (past 4wk) W5,0.002,0.049,0,0,0,0,1,5325
Taking heart failure medication (past 4wk) W5,0.005,0.067,0,0,0,0,1,5325
Taking atrial fibrillation medication (past 4wk) W5,0.002,0.049,0,0,0,0,1,5326
Taking aortic aneurysm medication (past 4wk) W5,0.001,0.024,0,0,0,0,1,5326
Taking arterial disease medication (past 4wk) W5,0.001,0.024,0,0,0,0,1,5326
Taking diabetes medication (past 4wk) W5,0.038,0.19,0,0,0,0,1,5323
HIGH SENSTVTY C-RCTV PROTN (hsCRP)(MG/L),3.383,7.034,0.649,1.491,3.566,0,205,4093
log10(hsCRP) W4,0.186,0.531,-0.188,0.173,0.552,-1,2,4093
High hsCRP (>3 mg/L) W4,0.457,0.498,0,0,1,0,1,5326
Any infectious symptoms in last 2 weeks (y/n) W4,0.26,0.439,0,0,1,0,1,5326
Smoked any cigarettes in last 30 days,0.38,0.485,0,0,1,0,1,4597
Taking anti-inflammatory medication W4,0.264,0.441,0,0,1,0,1,4632
Self-reported sex W5,1,0,1,1,1,1,1,5326
Race/ethnicity (UNC),2,1.495,1,1,2,1,5,5311
Midpoint household income w4 (AH-constructed),66604.853,37942.791,35000,62500,87500,2500,150000,4368
Midpoint personal income w4 (AH-constructed),45458.438,27883.374,27500,35000,62500,0,150000,3970
College by W4 (AH-constructed),0.975,0.814,0,1,2,0,2,4630
Observations,5326,,,,,,,
Source: The National Longitudinal Study of Adolescent to Adult Health (Add Health),,,,,,,,
