,Mean,Standard Deviation,Percentile 25,Median,Percentile 75,Minimum,Maximum,Count
Diagnosed with any CVD,0.102,0.303,0,0,0,0,1,1831
Ever diagnosed with high cholesterol W5,0.187,0.39,0,0,0,0,1,1816
Ever diagnosed with high blood pressure W5,0.167,0.373,0,0,0,0,1,1818
Ever diagnosed with heart disease W5,0.009,0.093,0,0,0,0,1,1820
Ever diagnosed with blood clot W5,0.01,0.099,0,0,0,0,1,1820
Ever diagnosed with a stroke W5,0.006,0.078,0,0,0,0,1,1820
Ever diagnosed with heart failure W5,0.007,0.081,0,0,0,0,1,1818
Ever diagnosed with atrial fibrillation W5,0.005,0.07,0,0,0,0,1,1819
Ever diagnosed with aortic aneurysm W5,0.001,0.023,0,0,0,0,1,1818
Ever diagnosed with arterial disease W5,0.003,0.052,0,0,0,0,1,1824
Ever diagnosed with diabetes W5,0.074,0.261,0,0,0,0,1,1820
Taking any CVD medication W5,0.102,0.303,0,0,0,0,1,1831
Taking high cholesterol medication (past 4wk) W5,0.048,0.213,0,0,0,0,1,1830
Taking high blood pressure medication (past 4wk) W5,0.076,0.266,0,0,0,0,1,1831
Taking heart disease medication (past 4wk) W5,0.005,0.07,0,0,0,0,1,1831
Taking blood clot medication (past 4wk) W5,0.002,0.047,0,0,0,0,1,1831
Taking stroke medication (past 4wk) W5,0.002,0.04,0,0,0,0,1,1831
Taking heart failure medication (past 4wk) W5,0.003,0.057,0,0,0,0,1,1831
Taking atrial fibrillation medication (past 4wk) W5,0.001,0.023,0,0,0,0,1,1831
Taking aortic aneurysm medication (past 4wk) W5,0,0,0,0,0,0,0,1831
Taking arterial disease medication (past 4wk) W5,0.001,0.033,0,0,0,0,1,1831
Taking diabetes medication (past 4wk) W5,0.04,0.197,0,0,0,0,1,1830
HIGH SENSTVTY C-RCTV PROTN (hsCRP)(MG/L),5.592,8.71,1.039,2.644,6.596,0,147,2200
log10(hsCRP) W4,0.409,0.563,0.017,0.422,0.819,-1,2,2200
High hsCRP (>3 mg/L) W4,0.574,0.495,0,1,1,0,1,2748
Any infectious symptoms in last 2 weeks (y/n) W4,0.309,0.462,0,0,1,0,1,2748
Smoked any cigarettes in last 30 days,0.278,0.448,0,0,1,0,1,2474
Taking anti-inflammatory medication W4,0.267,0.442,0,0,1,0,1,2498
Self-reported sex W5,1.568,0.495,1,2,2,1,2,1831
Race/ethnicity (UNC),5,0,5,5,5,5,5,2748
Midpoint household income w4 (AH-constructed),64829.866,36814.062,35000,62500,87500,2500,150000,2307
Midpoint personal income w4 (AH-constructed),39457.802,24782.816,22500,35000,45000,0,150000,2038
College by W4 (AH-constructed),0.809,0.77,0,1,1,0,2,2496
Observations,2748,,,,,,,
Source: The National Longitudinal Study of Adolescent to Adult Health (Add Health),,,,,,,,
