,Mean,Standard Deviation,Percentile 25,Median,Percentile 75,Minimum,Maximum,Count
Diagnosed with any CVD,0.108,0.311,0,0,0,0,1,7111
Ever diagnosed with high cholesterol W5,0.168,0.374,0,0,0,0,1,7070
Ever diagnosed with high blood pressure W5,0.17,0.375,0,0,0,0,1,7076
Ever diagnosed with heart disease W5,0.006,0.076,0,0,0,0,1,7079
Ever diagnosed with blood clot W5,0.013,0.115,0,0,0,0,1,7072
Ever diagnosed with a stroke W5,0.009,0.095,0,0,0,0,1,7086
Ever diagnosed with heart failure W5,0.003,0.057,0,0,0,0,1,7093
Ever diagnosed with atrial fibrillation W5,0.007,0.083,0,0,0,0,1,7082
Ever diagnosed with aortic aneurysm W5,0.001,0.029,0,0,0,0,1,7081
Ever diagnosed with arterial disease W5,0.001,0.036,0,0,0,0,1,7079
Ever diagnosed with diabetes W5,0.046,0.21,0,0,0,0,1,7084
Taking any CVD medication W5,0.108,0.311,0,0,0,0,1,7111
Taking high cholesterol medication (past 4wk) W5,0.042,0.2,0,0,0,0,1,7104
Taking high blood pressure medication (past 4wk) W5,0.085,0.278,0,0,0,0,1,7105
Taking heart disease medication (past 4wk) W5,0.002,0.046,0,0,0,0,1,7110
Taking blood clot medication (past 4wk) W5,0.004,0.059,0,0,0,0,1,7111
Taking stroke medication (past 4wk) W5,0.001,0.036,0,0,0,0,1,7110
Taking heart failure medication (past 4wk) W5,0.002,0.043,0,0,0,0,1,7111
Taking atrial fibrillation medication (past 4wk) W5,0.003,0.052,0,0,0,0,1,7111
Taking aortic aneurysm medication (past 4wk) W5,0,0.012,0,0,0,0,1,7111
Taking arterial disease medication (past 4wk) W5,0,0.021,0,0,0,0,1,7111
Taking diabetes medication (past 4wk) W5,0.028,0.165,0,0,0,0,1,7108
HIGH SENSTVTY C-RCTV PROTN (hsCRP)(MG/L),4.594,8.014,0.765,1.991,5.116,0,185,7821
log10(hsCRP) W4,0.301,0.568,-0.116,0.299,0.709,-1,2,7821
High hsCRP (>3 mg/L) W4,0.49,0.5,0,0,1,0,1,9347
Any infectious symptoms in last 2 weeks (y/n) W4,0.316,0.465,0,0,1,0,1,9347
Smoked any cigarettes in last 30 days,0.407,0.491,0,0,1,0,1,8590
Taking anti-inflammatory medication W4,0.323,0.468,0,0,1,0,1,8630
Self-reported sex W5,1.553,0.497,1,2,2,1,2,7111
Race/ethnicity (UNC),1,0,1,1,1,1,1,9347
Midpoint household income w4 (AH-constructed),64810.824,37722.371,35000,62500,87500,2500,150000,8167
Midpoint personal income w4 (AH-constructed),40640.623,27309.812,22500,35000,62500,0,150000,6841
College by W4 (AH-constructed),1.022,0.815,0,1,2,0,2,8630
Observations,9347,,,,,,,
Source: The National Longitudinal Study of Adolescent to Adult Health (Add Health),,,,,,,,
